ADISCORD_debug_add_vorkerland_war_exhaustion	§RDEBUG:§! Add 25 War Exhaustion
ADISCORD_debug_add_vorkerland_war_exhaustion_desc	Adds 25 exhaustion to the current WRK or VAD and immediately updates its national modifier.
ADISCORD_debug_reset_vorkerland_war_exhaustion	§RDEBUG:§! Reset War Exhaustion
ADISCORD_debug_reset_vorkerland_war_exhaustion_desc	Resets exhaustion to zero, updates the casualty snapshot and removes the national modifier from the current WRK or VAD.
ADISCORD_scenario_debug_category	§RDEBUG:§! A-Discord Scenarios
ADISCORD_scenario_debug_category_desc	Compact entry points for testing major scenarios. This category is visible only when the game is launched in debug mode.
ADISCORD_debug_start_vorkerland_collapse	§RDEBUG:§! Start Vorkerland's Collapse
ADISCORD_debug_start_vorkerland_collapse_desc	Immediately triggers the explosion, map reorganisation, portrait changes and mobilisation pause. Use as WRK.
ADISCORD_debug_form_vorkerland_joint_government	§RDEBUG:§! Form a Joint WRK-VAD Government
ADISCORD_debug_form_vorkerland_joint_government_desc	Forces the rare peaceful outcome and the Joint Emergency Council portrait.
ADISCORD_debug_force_vorkerland_central_victory	§RDEBUG:§! Confirm a Central Claimant's Victory
ADISCORD_debug_force_vorkerland_central_victory_desc	Grants the current WRK, VAD or TVA only the status of central unifier. Peripheral states are not transferred.
ADISCORD_debug_resolve_ivanland_success	§RDEBUG:§! End the Intervention Successfully
ADISCORD_debug_resolve_ivanland_success_desc	Immediately concludes the intervention successfully and creates Norvein under Matvey Mateusk. Repeated calls do not create a second army or war.
ADISCORD_debug_resolve_ivanland_failure	§RDEBUG:§! End the Intervention in Failure
ADISCORD_event_ui_test.1.t	Event Layout Test
ADISCORD_event_ui_test.1.desc	Tests the new standard event layout: a wide image, a bounded description area and four response options.
ADISCORD_event_ui_test.1.a	First option
ADISCORD_event_ui_test.1.b	Second option
ADISCORD_event_ui_test.1.c	Third option
ADISCORD_event_ui_test.1.d	Fourth option
ADISCORD_event_ui_test.2.t	Short Description - One Option
ADISCORD_event_ui_test.2.desc	The short text should be readable without scrolling.
ADISCORD_event_ui_test.2.a	Close the test
ADISCORD_event_ui_test.3.t	Long Description - Four Options
ADISCORD_event_ui_test.3.desc	This tests a long standard event text with four response options. The description should wrap within its designated area and scroll if it does not fit. Sentences of different lengths, punctuation and natural word combinations are deliberately included. Text must not overlap the image or buttons, and the scrollbar must not alter line width.\n\nAfter scrolling, all four responses must remain in the lower part of the window at equal intervals. The window itself must move as a single structure without its nested sections drifting apart. This additional paragraph imitates a real narrative message: headquarters has received contradictory reports, communications with distant garrisons are intermittent, and command must decide before nightfall. The player must be able to read the entire message, scroll with the mouse wheel or drag the scrollbar, and then select any available option without difficulty.
ADISCORD_event_ui_test.3.a	Choose the first option
ADISCORD_event_ui_test.3.b	Choose the second option
ADISCORD_event_ui_test.3.c	Choose the third option
ADISCORD_event_ui_test.3.d	Choose the fourth option
ADISCORD_event_ui_test.4.t	Long Description - One Option
ADISCORD_event_ui_test.4.desc	This separately tests a long text with a single response button. The description should occupy several lines and scroll when necessary, without overlapping the image or pushing the button below the window's bottom edge. The main sections must remain stable regardless of text length, so short and long events do not break apart into nested blocks. The photograph sits on the shared dark backing without an unnecessary frame around it.
ADISCORD_event_ui_test.4.a	Finish the long-text test
ADISCORD_event_ui_test.5.t	Stress Test: Far Too Much Skibidi
ADISCORD_event_ui_test.5.a	Enough skibidi
ADISCORD_test_wars_category	Test Wars
ADISCORD_test_wars_category_desc	Test decisions for checking regional conflicts.
APH_start_test_war_with_OSF	Test: War with OSF
APH_start_test_war_with_OSF_desc	Start the subsequent test conflict between APH and OSF. If APH wins, it annexes OSF; if it loses, the borders remain unchanged.
