infrastructure	Infrastructure
infrastructure_plural	Infrastructure
infrastructure_desc	This building improves the state's infrastructure, increasing supply throughput and the movement speed of your divisions.
arms_factory	Military Factory
arms_factory_plural	Military Factories
arms_factory_desc	This building produces new military equipment for the state. It can be converted to civilian production if necessary.
dockyard	Dockyard
dockyard_plural	Dockyards
dockyard_desc	This building produces new ships for the state.
canal_kiel	Kiel Canal Locks
canal_kiel_desc	The Kiel Canal cannot function properly without its locks. Destroying them will severely restrict movement and cargo transport for an extended period.
canal_panama	Panama Canal Locks
canal_panama_desc	The Panama Canal cannot function properly without its locks. Destroying them will severely restrict movement and cargo transport for an extended period.
industrial_complex	Civilian Factory
industrial_complex_plural	Civilian Factories
industrial_complex_desc	This building supplies consumer goods and enables construction of new buildings. It can be converted to military production if necessary.
air_base	Air Base
air_base_plural	Air Bases
air_base_desc	This building allows your air forces to be stationed in the state.
naval_base	Naval Base
naval_base_plural	Naval Bases
naval_base_desc	Extends your fleet's range and allows repairs. Enables supply deliveries and resource exports by sea. Higher levels increase supply throughput.
bunker	Land Fort
bunker_plural	Land Forts
bunker_desc	This building imposes an attack penalty of $VALUE|+%0$ per fort level on attackers in land combat. Attacks from multiple directions reduce the effect of the fortifications.
coastal_bunker	Coastal Fort
coastal_bunker_plural	Coastal Forts
coastal_bunker_desc	This building imposes an attack penalty of $VALUE|+%0$ per fort level on attackers during naval invasions.
anti_air_building	Anti-Air
anti_air_building_plural	Anti-Air
anti_air_building_desc	This building protects the state against enemy bombers and fires on hostile aircraft.
synthetic_refinery	Synthetic Refinery
synthetic_refinery_plural	Synthetic Refineries
synthetic_refinery_desc	This building produces in the state
radar_station	Radar Station
radar_station_plural	Radar Stations
radar_station_desc	Radar provides information on enemy troops in nearby states.\nHigher levels increase its range.\nIt also improves detection of enemy aircraft in the region, increasing your pilots' chances of success.\nRadar additionally improves detection of enemy fleets.
rocket_site	Rocket Site
rocket_site_plural	Rocket Sites
rocket_site_desc	This building allows you to deploy manufactured rockets in the state.
nuclear_reactor_heavy_water	Heavy Water Nuclear Reactor
nuclear_reactor_heavy_water_plural	Heavy Water Nuclear Reactors
nuclear_reactor_heavy_water_desc	This building produces enriched uranium in the state for use in nuclear weapons.\nHeavy water reactors are somewhat cheaper than graphite reactors, but produce less material for nuclear weapons.
nuclear_reactor	Nuclear Reactor
nuclear_reactor_plural	Nuclear Reactors
nuclear_reactor_desc	This building produces enriched uranium in the state for use in atomic weapons.
commercial_nuclear_reactor	Civilian Nuclear Reactor
commercial_nuclear_reactor_plural	Civilian Nuclear Reactors
commercial_nuclear_reactor_desc	This facility supplies enriched uranium for nuclear weapons and generates electricity for the civilian economy.
nuclear_facility	Nuclear Research Facility
nuclear_facility_plural	Nuclear Research Facilities
nuclear_facility_desc	Experimental nuclear research facilities enable projects that use nuclear energy.
air_facility	Aerodynamics and Avionics Facility
air_facility_plural	Aerodynamics and Avionics Facilities
air_facility_desc	Experimental aerodynamics and avionics facilities enable projects involving aircraft, rockets and electronics.
naval_facility	Naval Engineering Facility
naval_facility_plural	Naval Engineering Facilities
naval_facility_desc	Experimental naval engineering facilities enable projects to develop surface ships and submarines.\nThese facilities can be built only in coastal provinces.
mega_gun_emplacement	Multi-charge Large-calibre Gun
mega_gun_emplacement_plural	Multi-charge Guns
mega_gun_emplacement_desc	This large-calibre gun uses a multi-charge propulsion system to achieve an unprecedented firing range. A series of underground tunnels accelerates shells to supersonic speed before launching them at distant targets.
stronghold_network	Stronghold Network
stronghold_network_plural	Stronghold Networks
stronghold_network_desc	An extensive defensive system of massive bunkers and heavily fortified positions, built to repel enemy offensives and secure key strategic areas.
land_facility	Land Warfare Facility
land_facility_plural	Land Warfare Facilities
land_facility_desc	Experimental land warfare facilities enable research and development projects for land weapons, including special tanks, artillery and other equipment.
landmark_statue_of_liberty	Statue of Liberty
landmark_statue_of_liberty_desc	The imposing Statue of Liberty rises proudly above New York Harbor, welcoming immigrants seeking a new life in the United States. Over time, it has become an embodiment of American ideals, freedom and the pursuit of happiness.
landmark_big_ben	Big Ben
landmark_big_ben_desc	The Palace of Westminster's clock tower, known as Big Ben, is a cultural and historical symbol of Britain and parliamentary democracy. Built in 1859 in the Gothic Revival style, Big Ben is now the third-tallest tower in Britain.
landmark_colosseum	Colosseum
landmark_colosseum_desc	The Colosseum, the largest amphitheatre of the ancient world, was built in the reign of Emperor Titus in the heart of Rome. Public spectacles continued to be held here even after the Roman Empire fell.
landmark_cristo_redentor	Christ the Redeemer
landmark_cristo_redentor_desc	Completed in 1931, the statue of Christ the Redeemer towers over Rio de Janeiro. It is a national symbol of Brazil and holds profound significance for local Catholics.
landmark_eiffel_tower	Eiffel Tower
