protector_of_peace_goal_name	Guardian of Peace
protector_of_peace_goal_desc	We will not intervene in wars in Europe or elsewhere. Instead, we will maintain peace and encourage other countries to resolve conflicts without violence.
contain_japanese_expansion_asia_goal_name	Contain Japanese Expansion
pan_americanism_goal_name	Pan-Americanism
amerindian_liberation_goal_name	Liberate the Indigenous Peoples of the Americas
amerindian_liberation_goal_desc	The indigenous peoples of the New World must be freed from the yoke of the foreign invaders who now oppress them.
islamic_brotherhood_goal_name	Islamic Brotherhood
islamic_brotherhood_goal_desc	Islamic countries worldwide must unite to resist those who seek to conquer and enslave us.
baltic_security_goal_name	Defend the Baltic
baltic_security_goal_desc	To secure a peaceful future for our citizens, we must defend the Baltic with all our strength. Keeping it under our control will offer its people hope of prosperity.
nordic_defence_goal_name	Defend Northern Europe
nordic_defence_goal_desc	To secure a peaceful future for our citizens, we must defend Northern Europe with all our strength. Only by shielding the region from intrusive empires can we preserve hope of prosperity.
european_dominance_goal_name	Establish European Dominance
european_dominance_goal_desc	Uniting most of Europe under one banner will create a lasting alliance capable of withstanding even the most dangerous threats.
asian_dominance_goal_name	Establish Asian Dominance
asian_dominance_goal_desc	Once our faction controls most of Asia, the world will have to take us seriously.
middle_east_dominance_goal_name	Control the Middle East
middle_east_dominance_goal_desc	The Middle East stretches from the Arabian Peninsula and Lebanon to the mountains of Afghanistan. We must unite these lands and bring them under complete control. Working together, the region can become a major force.
the_arteries_of_trade_goal_name	Protect Trade Routes
the_arteries_of_trade_goal_desc	To ensure our countries' survival, we must control the main trade routes.
the_atomic_race_goal_name	Build the First Atomic Bomb
the_atomic_race_goal_desc	We must ensure that neither our present nor future enemies acquire nuclear weapons before us. Only by being first can we guarantee protection from the ambitions of other powers.
the_atomic_race_complete_trigger_fail	The first country to complete $sp_nuclear_bomb$ was not a member of [ROOT.GetFactionName]
rule_the_waves_goal_name	Rule the Waves
eliminate_the_twin_threats_goal_name	Eliminate the Twin Threats
disarm_aggression_central_powers_goal_name	Disarm the Aggressors
rule_the_waves_tech_bonus	Rule the Waves Goal Bonus
imperial_glory_goal_name	Protect the Empire's Vital Resources
imperial_glory_goal_desc	We must hold the key strongholds of our empire and its allies. Retaining control of assets across the world will show that we remain a force to be reckoned with.
production_quotas_goal_name	Meet Production Quotas
stall_the_fascist_threat_goal_name	Stall the Fascist Threat
the_red_tide_goal_name	Expand the Red Army
military_infrastructure_goal_name	Build Military Infrastructure
military_infrastructure_goal_desc	Developed infrastructure is essential to keeping the defenders of our borders properly supplied.
