theater_barbarossa_south	Army Group South
theater_north_sea_region	North Sea Region
theater_southern_europe	Southern Europe
theater_black_sea_region	Black Sea Region
theater_scandinavia	Scandinavian Theatre
theater_north_africa	North Africa
theater_west_africa	West Africa
theater_south_africa	South Africa
theater_persia	Persia
theater_central_pacific	Central Pacific Theatre
theater_us_west_coast	US Pacific Coast
theater_south_pacific	South Pacific Theatre
theater_japanese_home_islands	Japanese Home Islands
theater_chinese_coastline	Chinese Coastline
theater_chinese_mainland	Mainland China
theater_south_east_asia	Southeast Asia
theater_us_east_coast	US Atlantic Coast
theater_central_america	Central America
theater_bengal	Bengal Theatre
theater_northern_india	Northern India Theatre
theater_brazil	Brazilian Theatre
theater_south_south_america	Southern South America
theater_gran_columbia	Gran Colombia Theatre
GARRISON_SUPPORT_SEND	The requested manpower will be sent directly to garrisons in territory we occupy.
FOREIGN_MANIFEST_ENTRY	§HManifesto§!: $MANIFEST$
FOREIGN_GOAL_ITEM_ENTRY	§HGoal§!: $NAME$
SCALING_MODIFIER_SECTION_TITLE	$faction_divider_dashes$\n\n§HAt 100% manifesto progress (scaled):§!
SCALING_MODIFIER_SECTION_TITLE_REVERSED	$faction_divider_dashes$\n\n§HAt 0% manifesto progress (scaled):§!
TRIGGER_HAS_ACTIVE_FACTION_RULE	$COUNTRY_OR_FACTION|H$ has the active rule '$RULE|H$'
TRIGGER_HAS_NOT_ACTIVE_FACTION_RULE	$COUNTRY_OR_FACTION|H$ does not have the active rule '$RULE|H$'
