isolation	Isolation
civilian_economy	Civilian Economy
partial_economic_mobilisation	Partial Mobilisation
war_economy	War Economy
free_trade	Free Trade
limited_exports	Limited Exports
closed_economy	Closed Economy
ADISCORD_nam_debug_start_resource_war	§RDEBUG:§! Start the Svetlogorye Resource War
ADISCORD_nam_debug_start_resource_war_desc	Releases Svetlogorye from its old alliance ties, creates the permanent Eflor-Azhar alliance and launches their joint war against Svetlogorye.
ADISCORD_nam_debug_resolve_coalition_victory	§RDEBUG:§! Divide Svetlogorye among the Victors
ADISCORD_nam_debug_resolve_coalition_victory_desc	Divides all of Svetlogorye between Eflor and Azhar, eliminates the Svetlogorye Uprising and preserves the victors' alliance.
ADISCORD_nam_debug_resolve_nam_victory	§RDEBUG:§! Confirm Svetlogorye's Victory
ADISCORD_nam_debug_resolve_nam_victory_desc	Ends the war with recognition of Svetlogorye, a limited transfer of a border state and elimination of the surviving rebel army; the neighbouring states' alliance remains.
BM_HISTORY_TITLE	Brief History
HITTING_FAN_NAME	And So It Begins
MINIMIZE_EVENT	§GClick§! to minimise. The event will be placed in the event area's §HEvents and Decisions§! section.
autonomy_dominion	Dominion
autonomy_supervised_state	Supervised State
autonomy_colony	Colony
autonomy_puppet	Puppet
autonomy_integrated_puppet	Integrated Puppet
autonomy_annex	Annexed Territory
autonomy_free	Free State
autonomy_reichskommissariat	Commissariat
autonomy_reichsprotectorate	Protectorate
autonomy_satellite	Satellite
autonomy_wtt_imperial_associate	Imperial Associate
autonomy_wtt_imperial_protectorate	Imperial Protectorate
autonomy_wtt_imperial_subject	Imperial Subject
autonomy_collaboration_government	Collaboration Government
autonomy_personal_union	Personal Union
AUTONOMY_CAN_TAKE_DESC	$OWNER|UH$ can become a $NEXTLEVEL|H$
AUTONOMY_CANT_TAKE_DESC	$OWNER|UH$ cannot yet become a $NEXTLEVEL|H$
AUTONOMY_CAN_LOSE_DESC	$OWNER|UH$ can be reduced to a $PREVLEVEL|H$
AUTONOMY_CANT_LOSE_DESC	$OWNER|UH$ cannot yet be reduced to a $PREVLEVEL|H$
AUTONOMY_CHANGE_TO_DESC	$OWNER|UH$ will become a $LEVEL|H$
AUTONOMY_MOVING_DESC	§GChange autonomy level to $LEVEL|H$§!
AUTONOMY_CURR_DESC	$COUNTRY|H$ is currently a $LEVEL|H$
AUTONOMY_PROGRESS_DESC	$OWNER|UH$ can become a $NEXTLEVEL|H$ upon reaching £autonomy_texticon $CURRENT|H0$/$TOTAL|H0$ points
AUTONOMY_PROGRESS_PREV_DESC	$OWNER|UH$ has $CURRENT|H0$ points too many to be reduced to a $PREVLEVEL|H$
AUTONOMY_COUNTRY_EFFECT	Country
AUTONOMY_MASTER_COUNTRY_EFFECT	Overlord
SHOW_SUBJECTS_DESC	Open subject overview
SHOW_SUBJECTS_DISABLED_DESC	§RWe have no subjects§!
MANAGE_SUBJECTS_HEADER	Subjects
LL_TO_OVERLORD_FREEDOM_EFFECT	Subject lend-lease to overlord
SUBJECT_OF_NAME	Puppet of:\n$VALUE|H$
LL_TO_PUPPET_FREEDOM_EFFECT	Overlord lend-lease to subject
MONTHLY_LL_FREEDOM_VALUE_DESC	Monthly autonomy effect upon full delivery
MONTHLY_LL_FREEDOM_DESC	After full delivery, $COUNTRY|H$ receives £autonomy_texticon $VALUE|+=2$ each month
MONTHLY_REQUEST_LL_TO_MASTER	§RRequesting lend-lease from a puppet may increase its autonomy§!
MONTHLY_REQUEST_LL_TO_PUPPET	§RRequesting lend-lease from an overlord may reduce autonomy§!
EXPORT_FREEDOM_EFFECT	Subject exports to overlord
WAR_SCORE_FREEDOM_EFFECT	Subject war contribution
EFFECT_FREEDOM_EFFECT	Subject received
ACTIVE_ATTACHES_EFFECT	Active Attaches
MASTER_SURRENDER_FREEDOM_EFFECT	Overlord capitulated
MISSING_AUTONOMY_SCORE	Requires another £autonomy_texticon $VAL|2Y$ autonomy
TOO_MUCH_AUTONOMY_SCORE	Has $VAL|2Y$ too much autonomy
AUTONOMY_CHANGE_COST	Cost (£pol_power ): $VALUE$
AUTONOMY_FREEDOM_PROMOTE_COST	Requires £autonomy_texticon $SCORE|H0$ more points to advance to this level
AUTONOMY_FREEDOM_DEMOTE_COST	Requires £autonomy_texticon $SCORE|H0$ fewer points to fall to this level
CONTINUOUS_AUTONOMY_EFFECTS	§HContinuous Autonomy Effects§!
EVENT_AUTONOMY_EFFECTS	§HAutonomy Effects§!
ADD_AUTONOMY_SCORE_DESC	Adds £autonomy_texticon $VALUE|H2$ points
ADD_AUTONOMY_SCORE_DETAILED_DESC	Adds £autonomy_texticon $VALUE|H2$ points to $COUNTRY|H$
COLONIAL_FORCES_GENERAL_DESCRIPTION	§GClick to view templates from subjects and governments in exile§!\n\nDivisions created from colonial templates may use more colonial manpower as the colony's autonomy is reduced.
COLONIAL_FORCES_NO_SUBJECTS	§RWe have no subjects or governments in exile whose templates we can use§!
FOREIGN_TEMPLATE_DESC	This is a template from our $COUNTRY_ADJ|H$ subject. We can copy it and use it to create colonial armies. The manpower contributed to these armies depends on the subject's autonomy level.
