POLITICS_SUBGOAL	Objective #$NUMBER$
DRIFT_DIM_RETURN	Party inertia: §R-$VAL$§!\n
POL_DAILY_CHANGE	Daily change: $VAL$
POL_OTHERS_DRIFT	Due to changes in other parties: $VAL$
POLITICS_NOELECTIONS	No Elections
POLITICS_ELECTION_FREQUENCY	Elections every $MONTHS|H$ years
POLITICS_HOLD_ELECTION	Hold an election in $COUNTRY$
POLITICS_NEXT_ELECTION	Next election: $DATE$
POLITICS_ACTIVE_GOAL	Current Goal
POLITICS_IDEOLOGY	§TParty ideology: $IDEOLOGY|H$§!
POLITICS_LEADER	§TParty leader: $LEADER|H$§!
POLITICS_POPULARITY	§TPopularity: §H$VALUE|2$%§!§!
POLITICS_POPULARITY_INCREASE_SPY	$SPY|H$ increases popularity (§H$VALUE|2$%§! weekly)
POLITICS_SCORE	§TTotal score: $VALUE|0H$§!
POLITICS_IDEA_WINDOW	Manage Government
POLITICS_ADD_IDEA	§GClick to add $GROUP|H$§!
POLITICS_INVALID_IDEA_REMOVED	§HInvalid idea $IDEA|R$ removed§!
POLITICS_INVALID_IDEA_REMOVED_DESC	The government idea $IDEA|R$ has been removed because its requirements are no longer met.
ADVISOR_CANT_AFFORD_CP_REMOVED_TITLE	§HAdvisor $ADVISOR|R$ dismissed§!
ADVISOR_CANT_AFFORD_CP_REMOVED_DESC	We can no longer afford the command power cost of $ADVISOR$. This advisor has been dismissed from service.
POLITICS_INVALID_IDEA_REPLACED	§HInvalid idea $IDEA|R$ replaced§!
POLITICS_INVALID_IDEA_REPLACED_DESC	The requirements for $OLD_IDEA|R$ are no longer met. It has been replaced by $NEW_IDEA|Y$.
POLITICS_REMOVE_IDEA_TILE	Remove Idea
POLITICS_REMOVE_IDEA_DESC	Are you sure you wish to remove §Y$IDEA$§! for £pol_power $COST|-0$?
POLITICS_REPLACE_IDEA_TILE	Replace Idea
POLITICS_REPLACE_IDEA_ARMY_XP_DESC	Are you sure you wish to replace §Y$OLD_IDEA$§! with §Y$NEW_IDEA$§!? Cost: £army_experience $COST|-0$.
POLITICS_REPLACE_IDEA_NAVY_XP_DESC	Are you sure you wish to replace §Y$OLD_IDEA$§! with §Y$NEW_IDEA$§!? Cost: £navy_experience $COST|-0$.
POLITICS_REPLACE_IDEA_AIR_XP_DESC	Are you sure you wish to replace §Y$OLD_IDEA$§! with §Y$NEW_IDEA$§!? Cost: £air_experience $COST|-0$.
POLITICS_REPLACE_IDEA_POLITICAL_POWER_DESC	Are you sure you wish to replace §Y$OLD_IDEA$§! with §Y$NEW_IDEA$§!? Cost: £pol_power $COST|-0$.
CANT_TAKE_IDEAS	§RMinisters cannot be appointed and laws cannot be changed at present.§!\n§HIdeas that cannot be selected:§!
POLITICS_IDEA_COST	Cost (£pol_power ): $VALUE|-0$
POLITICS_IDEA_REMOVE_COST	Replacement cost (£pol_power ): $VALUE|0$
POLITICS_IDEA_NO_REMOVE	\n§RCannot be removed.§!\n
POLITICS_IDEA_CANCEL_DESC	Will be cancelled if:
POLITICS_GOAL_INSTANT_EFFECT	When selected:
POLITICS_GOAL_OBJECTIVE	§TObjectives:§!
POLITICS_GOAL_SUCCESS_REWARD	\n§TOn completion:§!
POLITICS_GOAL_NOREWARD	§TNo effect.§!
POLITICS_NO_GOAL_SELECTED	No Goal
POLITICS_NO_GOAL_SELECTED_OWN	Select a goal for your nation
POLITICS_SELECT_GOAL	§GClick to set a goal§!
POLITICS_SELECT_GOAL_DESC	A §Ynational goal§! is a kind of promise to the nation.\n\nSetting one costs §Ypolitical power§!, but completing it repays that investment and grants a reward.\n\nHere you will find major historical undertakings as well as more modest ways to improve life in your country.
POLITICS_RESELECT_GOAL	§GClick to remove the goal§!
POLITICS_POLITICAL_POWER_INCREASE	Power change: $VALUE|2=+$ per day
POL_POWER_TOTAL_GAIN	Total gain $VAL|2=+$
POLITICS_GOAL_COST	Cost (£pol_power ): $VALUE|0$
POLITICS_GOAL_SUCCEEDED	Goal achieved!
POLITICS_GOAL_FAILED	Goal failed!
POLITICS_GOAL_NOTIFY_ALL	All countries will be notified.
POLITICS_GOAL_NOTIFY_TARGET	The target country will be notified.
POLITICS_GOAL_NOTIFY_FACTION	Your faction will be notified.
POLITICS_GOAL_NOTIFY_ALLIES	Your allies will be notified.
POLITICS_WARGOAL_INSTANT	Becomes a war goal immediately after preparation.
POLITICS_WARGOAL_DELAYED	Becomes a war goal at $PROGRESS|Y0%$ progress.
POLITICS_WARGOAL_UNLOCK	Unlocks the war goal $NAME|Y$
POLITICS_GRACE_PERIOD_DAYS	 after $DAYS|Y$ days
POLITICS_GRACE_PERIOD_END	Preparation lasts until: $DATE|Y$.
POLITICS_EXPIRE_TIME	Expires in $TIME|Y$ days.
POLITICS_SUCCESS_PROGRESS	Completion progress: $PROGRESS|Y%0$
POLITICAL_POLITICAL	Politics
MANAGE_OCCUPIED_TERRITORIES	Occupied Territories
MANAGE_SUBJECTS	Subjects
manage_occupied_territories_no_occupation	§RYou are not currently occupying any non-core territory.§!
MANAGE_OCCUPIED_TERRITORIES_HEADER	Foreign Territory
MANAGE_EXILED_GOVERNMENTS	Governments in Exile
SHOW_EXILED_STATUS	Exile Status
SHOW_EXILED_STATUS_LEGITIMACY	Legitimacy: $VALUE|0H$
SHOW_COLLABORATIONS	Collaboration
SHOW_EXILED_COLLABORATORS	Exiles / Collaborators
IDEA_SUB_CATEGORY_LIMIT	§YOnly one can be selected§!
country_idea_desc	Ideas that inspire and guide your country.
political_idea_desc	Ideas currently dominant in the political sphere.
military_idea_desc	Ideas about how the country's armed forces should operate.
economic_idea_desc	Ideas that prepare your country's economy for war.
technology_idea_desc	Ideas that help achieve technological progress.
espionage_idea_desc	Ideas about how the state should conduct espionage.
country	Country
political	Politics
military	Military
economic	Economy
technology	Technology
espionage	Espionage
UNITY_WEEKLY_TOTAL_CHANGE	Weekly change: $VAL$
STABILITY_WEEKLY_TOTAL_CHANGE	Weekly change: $VAL$
WAR_SUPPORT_WEEKLY_TOTAL_CHANGE	Weekly change: $VAL$
OCCUPATION_POLICY	Occupation Policy
RELEASE_NATION_TITLE	Release Nation
RELEASE_NATION_DESC	Are you sure you wish to release $COUNTRY|H$ in these states: $LIST|H$?
RETURN_TERRITORY_TITLE	Return Territory
RETURN_TERRITORY_DESC	Are you sure you wish to return these states to $COUNTRY|H$: $LIST|H$?
manage_occupied_territories	§GClick here to manage occupied territories§!
