MOD_HOUR	h.
MOD_DAILY	daily
CAN_GUARANTEE_OTHER_IDEOLOGIES_NO	Can guarantee only nations with the $IDE$ ideology.
MODIFIER_NONE	None
VISIBLE_MODIFIERS_END	End of visible modifiers
occupation_policy_1	Gentlest
occupation_policy_2	Gentle
occupation_policy_3	Harsh
occupation_policy_4	Harshest
WEATHER_MODIFIERS	Weather modifiers ($WEA$):
WEATHER_PEACETIME	Weather attrition applies only when the controlling country is at war
NIGHT_MODIFIERS	Night combat modifiers:
improve_relation	Improved Relations
attache_sent	Attache Sent
attache_sent_to_enemy	Attache Sent to Enemy
IMPROVE_RELATION_EFFECTS	From improved relations
MODIFIER_PRODUCTION_FACTORY_MAX_EFFICIENCY	£prod_eff_cap  Production Efficiency Cap
MODIFIER_PRODUCTION_FACTORY_MAX_EFFICIENCY_FACTOR	£prod_eff_cap  Production Efficiency Cap
MODIFIER_NOT_SUPPORTED	This modifier is §Rnot supported§! for this entry.
MODIFIER_RESEARCH_SHARING_PER_COUNTRY_BONUS	Technology Sharing Bonus
MODIFIER_RESEARCH_SHARING_PER_COUNTRY_BONUS_FACTOR	Technology Sharing Bonus
MODIFIER_CAN_MASTER_BUILD_FOR_US	Overlord can construct buildings in subject territory
MODIFIER_CIVIL_WAR_INVOLVEMENT_TENSION	Civil War Involvement Tension
MODIFIER_NAVAL_ENEMY_POSITIONING_IN_INITIAL_ATTACK	Enemy defensive positioning in the initial attack: 
MODIFIER_AUTONOMY_GAIN_GLOBAL_FACTOR	Global Autonomy Gain
MODIFIER_CANNOT_USE_ABILITIES	Cannot use combat abilities
pride_of_the_fleet_country	Has a Pride of the Fleet
pride_of_the_fleet_sunk_temporary	Recently Lost the Pride of the Fleet
pride_of_the_fleet	Pride of the Fleet
air_wing_experience	Air Wing Experience
carrier_experience_bonus_max	From Carrier Experience
carrier_experience_malus_min	From Carrier Experience
MODIFIER_STRATEGIC_REDEPLOYMENT_DISABLED	Strategic Redeployment Disabled
MODIFIER_STRATEGIC_REDEPLOYMENT_DISABLED_FOR_CONTROLLER	Strategic Redeployment Disabled
MODIFIER_ENEMY_INTEL_IMPACT	Enemy Intelligence Impact
state_resource_tungsten	Tungsten
state_resource_steel	Steel
state_resource_chromium	Chromium
temporary_state_resource_tungsten	Tungsten
temporary_state_resource_steel	Steel
temporary_state_resource_chromium	Chromium
country_resource_oil	Oil
country_resource_aluminium	Aluminium
country_resource_tungsten	Tungsten
country_resource_steel	Steel
country_resource_chromium	Chromium
state_resource_cost_aluminium	Aluminium Consumption
state_resource_cost_tungsten	Tungsten Consumption
state_resource_cost_chromium	Chromium Consumption
country_resource_cost_aluminium	Aluminium Consumption
country_resource_cost_tungsten	Tungsten Consumption
country_resource_cost_chromium	Chromium Consumption
FACTORED_BY	Multiplied by $VALUE|+%$
DECRYPTION_TOTAL_BASE	Total base value: $VALUE|+.0$
MODIFIER_ENEMY_SPY_NEGATIVE_STATUS_FACTOR	Enemy Spy Negative Status [wip]
MODIFIER_NO_COMPLIANCE_GAIN	No Compliance Gain
MODIFIER_TRAINING_FACILITIES_ENABLED	Unlock training facility construction decisions
MODIFIER_CRYPTO_DEPARTMENT_ENABLED	Unlock the Cryptology Department
intel_network_state_level_bonus	£operative_mission_icons_small|1£Intelligence Network
intel_network_state_level_penalty	£operative_mission_icons_small|1£Enemy Intelligence Network
created_intelligence_agency	Intelligence Agency
root_out_resistance_mission_modifier	Root Out Resistance
operative_nationality_mission	Local Nationality
operative_nationality_operation	Local Nationality
passive_decryption_modifier	Enemy Cipher Decrypted
active_decryption_modifier	Full intelligence from enemy cipher decryption is being used
full_decryption_modifier	Full intelligence from enemy cipher decryption is being used
MODIFIER_IDEOLOGY_DRIFT_FROM_BOOST_IDEOLOGY_OPERATIVE_MISSION	From Subversive Activities
MODIFIER_FROM_OPERATIVE	From Operatives
MODIFIER_OPERATING_IN_FOREIGN_COUNTRY	Operating in a Foreign Country
MODIFIER_SCALED_BY	Scaled by: $VALUE$
MODIFIER_OPERATIVE_STACKING_FACTOR	Other operatives (such as faction members) on the same mission: $VALUE$
MODIFIER_TARGET_INTELLIGENCE_DEFENSE	Target counterintelligence: $VALUE$
MODIFIER_NETWORK_STRENGTH_FACTOR	Local network strength: $VALUE$
MODIFIER_NATIONAL_COVERAGE_FACTOR	National coverage: $VALUE$
MODIFIER_DISABLE_IDEA_TAKING	Cannot appoint ministers or change laws
MODIFIER_CIVILIAN_INTEL_DECRYPTION_BONUS	Civilian intelligence decryption bonus: $VALUE$
MODIFIER_ARMY_INTEL_DECRYPTION_BONUS	Army intelligence decryption bonus: $VALUE$
MODIFIER_NAVY_INTEL_DECRYPTION_BONUS	Navy intelligence decryption bonus: $VALUE$
MODIFIER_AIRFORCE_INTEL_DECRYPTION_BONUS	Air intelligence decryption bonus: $VALUE$
country_is_at_war	Country Is at War
country_is_at_peace	Country Is at Peace
MODIFIER_ASSIGN_ARMY_LEADER_CP_COST	Army commander assignment cost (£command_power): $VALUE|Y0$
MODIFIER_ASSIGN_NAVY_LEADER_CP_COST	Navy commander assignment cost (£command_power): $VALUE|Y0$
WAR_SUPPORT_AT_WAR_CURRENTLY_TITLE	\n\nEffects during war:
dense_rural_infrastructure	Densely Populated Countryside
MODIFIER_LEND_LEASE_TENSION_LIMIT_WITH_OVERLORD	Subject Lend-Lease Tension Limit
modifier_production_speed_nuclear_facility_factor	§YNuclear Facility§! Construction Speed
modifier_production_speed_air_facility_factor	§YAir Facility§! Construction Speed
modifier_production_speed_naval_facility_factor	§YNaval Facility§! Construction Speed
modifier_production_speed_land_facility_factor	§YLand Facility§! Construction Speed
modifier_state_coastal_bunker_max_level_terrain_limit	Maximum Coastal Fort Level
COMPLIANCE_DECAY_INFO	Additional compliance change:
