ideas = {
	political_advisor_head_of_state = {
		minister_VAL_Valerian_Kraith = { name = minister_VAL_Valerian_Kraith default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = VAL } visible = { tag = VAL } allowed_to_remove = { } traits = { minister_trait_VAL_hos_contract_throne } }
		minister_IVN_Mikhail_Bron = { name = minister_IVN_Mikhail_Bron default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = IVN } visible = { tag = IVN } allowed_to_remove = { } traits = { minister_trait_IVN_hos_locked_cabinet } }
		minister_WIT_Otto_Veyn = { name = minister_WIT_Otto_Veyn default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = WIT } visible = { tag = WIT } allowed_to_remove = { } traits = { minister_trait_WIT_hos_quick_compromises } }
		minister_WRK_Dorian_Worx = { name = minister_WRK_Dorian_Worx default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = WRK } visible = { tag = WRK } allowed_to_remove = { } traits = { minister_trait_WRK_hos_emergency_bureau } }
		minister_PIV_Grigor_Pivovar = { name = minister_PIV_Grigor_Pivovar default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = PIV } visible = { tag = PIV } allowed_to_remove = { } traits = { minister_trait_PIV_hos_foamy_populist } }
		minister_RUS_Arkady_Sever = { name = minister_RUS_Arkady_Sever default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = RUS } visible = { tag = RUS } allowed_to_remove = { } traits = { minister_trait_RUS_hos_border_patriarch } }
		minister_NAM_Kirill_Vykup = { name = minister_NAM_Kirill_Vykup default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = NAM } visible = { tag = NAM } allowed_to_remove = { } traits = { minister_trait_NAM_hos_appointed_viceroy } }
		minister_VAD_Pavel_Strazh = { name = minister_VAD_Pavel_Strazh default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = VAD } visible = { tag = VAD } allowed_to_remove = { } traits = { minister_trait_VAD_hos_frontier_guardian } }
		minister_ROM_Karl_Rosen = { name = minister_ROM_Karl_Rosen default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = ROM } visible = { tag = ROM } allowed_to_remove = { } traits = { minister_trait_ROM_hos_old_staff } }
		minister_SOL_Helio_Marr = { name = minister_SOL_Helio_Marr default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = SOL } visible = { tag = SOL } allowed_to_remove = { } traits = { minister_trait_SOL_hos_solar_pact } }
		minister_TRU_Morgan_Trent = { name = minister_TRU_Morgan_Trent default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = TRU } visible = { tag = TRU } allowed_to_remove = { } traits = { minister_trait_TRU_hos_plain_speaker } }
		minister_ZAO_Hassan_Rauf = { name = minister_ZAO_Hassan_Rauf default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = ZAO } visible = { tag = ZAO } allowed_to_remove = { } traits = { minister_trait_ZAO_hos_zone_commissar } }
		minister_VLA_Vera_Krantz = { name = minister_VLA_Vera_Krantz default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = VLA } visible = { tag = VLA } allowed_to_remove = { } traits = { minister_trait_VLA_hos_arsenal_mayor } }
		minister_PWR_Orson_Wight = { name = minister_PWR_Orson_Wight default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = PWR } visible = { tag = PWR } allowed_to_remove = { } traits = { minister_trait_PWR_hos_ruin_marshal } }
		minister_DAN_Yan_Krass = { name = minister_DAN_Yan_Krass default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = DAN } visible = { tag = DAN } allowed_to_remove = { } traits = { minister_trait_DAN_hos_collective_voice } }
		minister_NOD_Avren_Lusk = { name = minister_NOD_Avren_Lusk default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = NOD } visible = { tag = NOD } allowed_to_remove = { } traits = { minister_trait_NOD_hos_hedonist_tribune } }
		minister_EFL_Eldar_Fenn = { name = minister_EFL_Eldar_Fenn default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = EFL } visible = { tag = EFL } allowed_to_remove = { } traits = { minister_trait_EFL_hos_glass_mediator } }
		minister_COF_Silvan_Root = { name = minister_COF_Silvan_Root default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = COF } visible = { tag = COF } allowed_to_remove = { } traits = { minister_trait_COF_hos_green_oracle } }
		minister_BJK_Rodrik_Gate = { name = minister_BJK_Rodrik_Gate default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = BJK } visible = { tag = BJK } allowed_to_remove = { } traits = { minister_trait_BJK_hos_crown_regent } }
		minister_BLD_Arno_Veyr = { name = minister_BLD_Arno_Veyr default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = BLD } visible = { tag = BLD } allowed_to_remove = { } traits = { minister_trait_BLD_hos_ducal_chancellor } }
