province_id,definition_terrain,scope
579,plains,terrain_changed
5245,urban,terrain_changed
5636,desert,terrain_changed
5772,desert,terrain_changed
6905,plains,terrain_changed
6928,forest,terrain_changed
7678,forest,terrain_changed
8877,desert,terrain_changed
9664,desert,terrain_changed
11209,desert,terrain_changed
11392,marsh,terrain_changed
11443,desert,terrain_changed
12189,urban,terrain_changed
12250,desert,terrain_changed
12296,desert,terrain_changed
12955,desert,terrain_changed
16563,desert,terrain_changed
16611,urban,terrain_changed
16612,urban,terrain_changed
16654,desert,new
16655,desert,new
16656,desert,new
16657,desert,new
16658,desert,new
16659,forest,new
16660,forest,new
16661,forest,new
16662,forest,new
16663,forest,new
16664,forest,new
16665,hills,new
16666,hills,new
16667,hills,new
16668,hills,new
16669,marsh,new
16670,marsh,new
16671,marsh,new
16672,marsh,new
16673,marsh,new
16674,marsh,new
16675,marsh,new
16676,marsh,new
16677,marsh,new
16678,marsh,new
16679,mountain,new
16680,mountain,new
16681,plains,new
16682,plains,new
16683,plains,new
16684,plains,new
16685,plains,new
16686,plains,new
16687,plains,new
16688,plains,new
16689,urban,new
16690,urban,new
16691,urban,new
16692,urban,new
16693,urban,new
16694,urban,new
16695,urban,new
16696,urban,new
16697,urban,new
16698,urban,new
16699,urban,new
16700,urban,new
16701,urban,new
16702,urban,new
16703,urban,new
16704,urban,new
16705,urban,new
16706,forest,new
